CustomerId,CreditScore,Credit_Score_Rating,Geography,Gender,Age_Group,Tenure,Balance,Balance_Group,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Salary_Group,Exited
15625047,846,Excellent,France,Female,31-40,5,0,Zero Balance,1,1,1,187616.16,Very High salary,0
15738191,577,Poor,France,Male,21-30,3,0,Zero Balance,2,0,1,124508.29,High Salary,0
15736816,756,Very Good,Germany,Male,31-40,2,136815.64,High Balance,1,1,1,170041.95,Very High salary,0
15700772,571,Poor,France,Male,41-50,9,0,Zero Balance,2,0,0,38433.35,Low Salary,0
15728693,574,Poor,Germany,Female,41-50,3,141349.43,High Balance,1,1,1,100187.43,High Salary,0
15656300,411,Poor,France,Male,21-30,0,59697.17,Medium Balance,2,1,1,53483.21,Medium Salary,0
15589475,591,Fair,Spain,Female,31-40,3,0,Zero Balance,3,1,0,140469.38,High Salary,1
15706552,533,Poor,France,Male,31-40,7,85311.7,Medium Balance,1,0,1,156731.91,Very High salary,0
15750181,553,Poor,Germany,Male,41-50,9,110112.54,High Balance,2,0,0,81898.81,Medium Salary,0
15659428,520,Poor,Spain,Female,41-50,6,0,Zero Balance,2,1,1,34410.55,Low Salary,0
15732963,722,Good,Spain,Female,21-30,9,0,Zero Balance,2,1,1,142033.07,High Salary,0
15794171,475,Poor,France,Female,41-50,0,134264.04,High Balance,1,1,0,27822.99,Low Salary,1
15788448,490,Poor,Spain,Male,31-40,3,145260.23,High Balance,1,0,1,114066.77,High Salary,0
15729599,804,Excellent,Spain,Male,31-40,7,76548.6,Medium Balance,1,0,1,98453.45,Medium Salary,0
15717426,850,Excellent,France,Male,31-40,7,0,Zero Balance,1,1,1,40812.9,Low Salary,0
15585768,582,Fair,Germany,Male,41-50,6,70349.48,Medium Balance,2,0,1,178074.04,Very High salary,0
15619360,472,Poor,Spain,Male,31-40,4,0,Zero Balance,1,1,0,70154.22,Medium Salary,0
15738148,465,Poor,France,Female,51-60,8,122522.32,High Balance,1,0,0,181297.65,Very High salary,1
15687946,556,Poor,France,Female,60+,2,117419.35,High Balance,1,1,1,94153.83,Medium Salary,0
15755196,834,Excellent,France,Female,41-50,2,131394.56,High Balance,1,0,0,194365.76,Very High salary,1
15684171,660,Fair,Spain,Female,60+,5,155931.11,Very High Balance,1,1,1,158338.39,Very High salary,0
15754849,776,Very Good,Germany,Female,31-40,4,109421.13,High Balance,2,1,1,126517.46,High Salary,0
15602280,829,Excellent,Germany,Female,21-30,9,112045.67,High Balance,1,1,1,119708.21,High Salary,1
15771573,637,Fair,Germany,Female,31-40,9,137843.8,High Balance,1,1,1,117622.8,High Salary,1
15766205,550,Poor,Germany,Male,31-40,2,103391.38,High Balance,1,0,1,90878.13,Medium Salary,0
15771873,776,Very Good,Germany,Female,31-40,2,103769.22,High Balance,2,1,0,194099.12,Very High salary,0
15616550,698,Good,Germany,Male,41-50,10,116363.37,High Balance,2,1,0,198059.16,Very High salary,0
15768193,585,Fair,Germany,Male,31-40,5,146050.97,High Balance,2,0,0,86424.57,Medium Salary,0
15683553,788,Very Good,France,Female,31-40,5,0,Zero Balance,2,0,0,116978.19,High Salary,0
15702298,655,Fair,Germany,Male,41-50,8,125561.97,High Balance,1,0,0,164040.94,Very High salary,1
15569590,601,Fair,Germany,Male,41-50,1,98495.72,Medium Balance,1,1,0,40014.76,Low Salary,1
15760861,619,Fair,France,Male,41-50,1,125211.92,High Balance,1,1,1,113410.49,High Salary,0
15630053,656,Fair,France,Male,41-50,5,127864.4,High Balance,1,1,0,87107.57,Medium Salary,0
15647091,725,Good,Germany,Male,0-20,0,75888.2,Medium Balance,1,0,0,45613.75,Low Salary,0
15623944,511,Poor,Spain,Female,60+,4,0,Zero Balance,1,1,0,1643.11,Low Salary,1
15804771,614,Fair,France,Male,51-60,4,40685.92,Low Balance,1,1,1,46775.28,Low Salary,0
15651280,742,Very Good,Germany,Male,31-40,5,136857,High Balance,1,0,0,84509.57,Medium Salary,0
15773469,687,Good,Germany,Female,21-30,9,152328.88,Very High Balance,2,0,0,126494.82,High Salary,0
15702014,555,Poor,Spain,Male,31-40,1,56084.69,Medium Balance,2,0,0,178798.13,Very High salary,0
15751208,684,Good,Spain,Male,51-60,8,78707.16,Medium Balance,1,1,1,99398.36,Medium Salary,0
15592461,603,Fair,Germany,Male,21-30,4,109166.37,High Balance,1,1,1,92840.67,Medium Salary,0
15789484,751,Very Good,Germany,Female,31-40,6,169831.46,Very High Balance,2,1,1,27758.36,Low Salary,0
15696061,581,Fair,Germany,Female,31-40,1,101633.04,High Balance,1,1,0,110431.51,High Salary,0
15641582,735,Good,Germany,Male,41-50,10,123180.01,High Balance,2,1,1,196673.28,Very High salary,0
15638424,661,Fair,Germany,Female,31-40,5,150725.53,Very High Balance,2,0,1,113656.85,High Salary,0
15755648,675,Good,France,Female,21-30,8,98373.26,Medium Balance,1,1,0,18203,Low Salary,0
15703793,738,Good,Germany,Male,51-60,2,133745.44,High Balance,4,1,0,28373.86,Low Salary,1
15620344,813,Excellent,France,Male,21-30,6,0,Zero Balance,1,1,0,33953.87,Low Salary,0
15812518,657,Fair,Spain,Female,31-40,0,163607.18,Very High Balance,1,0,1,44203.55,Low Salary,0
15779052,604,Fair,Germany,Female,21-30,5,157780.84,Very High Balance,2,1,1,58426.81,Medium Salary,0
15770811,519,Poor,France,Male,31-40,9,0,Zero Balance,2,0,1,145562.4,High Salary,0
15780961,735,Good,France,Female,21-30,1,178718.19,Very High Balance,2,1,0,22388,Low Salary,0
15614049,664,Fair,France,Male,51-60,8,0,Zero Balance,2,1,1,139161.64,High Salary,0
15662085,678,Good,France,Female,31-40,9,0,Zero Balance,1,1,1,148210.64,High Salary,0
15575185,757,Very Good,Spain,Male,31-40,5,77253.22,Medium Balance,1,0,1,194239.63,Very High salary,0
15803136,416,Poor,Germany,Female,41-50,10,122189.66,High Balance,2,1,0,98301.61,Medium Salary,0
15706021,665,Fair,France,Female,31-40,1,96645.54,Medium Balance,2,0,0,171413.66,Very High salary,0
15663706,777,Very Good,France,Female,31-40,2,0,Zero Balance,1,1,0,136458.19,High Salary,1
15641732,543,Poor,France,Female,31-40,3,0,Zero Balance,2,0,0,26019.59,Low Salary,0
15701164,506,Poor,France,Female,31-40,4,90307.62,Medium Balance,1,1,1,159235.29,Very High salary,0
15738751,493,Poor,France,Female,41-50,4,0,Zero Balance,2,1,0,1907.66,Low Salary,0
15805254,652,Fair,Spain,Female,60+,10,0,Zero Balance,2,1,1,114675.75,High Salary,0
15762418,750,Very Good,Spain,Male,21-30,3,121681.82,High Balance,1,1,0,128643.35,High Salary,1
15625759,729,Good,France,Male,21-30,9,0,Zero Balance,2,1,0,151869.35,Very High salary,0
15622897,646,Fair,France,Female,41-50,4,0,Zero Balance,3,1,0,93251.42,Medium Salary,1
15767954,635,Fair,Germany,Female,21-30,3,81623.67,Medium Balance,2,1,1,156791.36,Very High salary,0
15757535,647,Fair,Spain,Female,41-50,5,0,Zero Balance,3,1,1,174205.22,Very High salary,1
15731511,808,Excellent,France,Male,41-50,7,118626.55,High Balance,2,1,0,147132.46,High Salary,0
15809248,524,Poor,France,Female,31-40,10,0,Zero Balance,2,1,0,109614.57,High Salary,0
15640635,769,Very Good,France,Male,21-30,8,0,Zero Balance,2,1,1,172290.61,Very High salary,0
15676966,730,Good,Spain,Male,41-50,4,0,Zero Balance,2,0,1,85982.47,Medium Salary,0
15699461,515,Poor,Spain,Male,31-40,10,176273.95,Very High Balance,1,0,1,121277.78,High Salary,0
15738721,773,Very Good,Spain,Male,41-50,9,102827.44,High Balance,1,0,1,64595.25,Medium Salary,0
15693683,814,Excellent,Germany,Male,21-30,8,97086.4,Medium Balance,2,1,1,197276.13,Very High salary,0
15604348,710,Good,Spain,Male,21-30,8,0,Zero Balance,2,0,0,99645.04,Medium Salary,0
15633059,413,Poor,France,Male,31-40,9,0,Zero Balance,2,0,0,6534.18,Low Salary,0
15808582,665,Fair,France,Female,31-40,6,0,Zero Balance,1,1,1,161848.03,Very High salary,0
15743192,623,Fair,France,Female,41-50,6,0,Zero Balance,2,0,0,167162.43,Very High salary,0
15580146,738,Good,France,Male,31-40,9,82674.15,Medium Balance,1,1,0,41970.72,Low Salary,0
15776605,528,Poor,Spain,Male,31-40,7,0,Zero Balance,2,1,0,60536.56,Medium Salary,0
15804919,670,Good,Spain,Female,60+,1,0,Zero Balance,1,1,1,177655.68,Very High salary,1
15613854,622,Fair,Spain,Female,41-50,4,107073.27,High Balance,2,1,1,30984.59,Low Salary,1
15599195,582,Fair,Germany,Male,31-40,1,88938.62,Medium Balance,1,1,1,10054.53,Low Salary,0
15812878,785,Very Good,Germany,Female,31-40,2,99806.85,Medium Balance,1,0,1,36976.52,Low Salary,0
15602312,605,Fair,Spain,Male,31-40,5,150092.8,Very High Balance,1,0,0,71862.79,Medium Salary,0
15744689,479,Poor,Germany,Male,31-40,9,92833.89,Medium Balance,1,1,0,99449.86,Medium Salary,1
15803526,685,Good,Germany,Male,21-30,3,90536.81,Medium Balance,1,0,1,63082.88,Medium Salary,0
15665790,538,Poor,Germany,Male,31-40,7,108055.1,High Balance,2,1,0,27231.26,Low Salary,0
15715951,562,Poor,France,Male,41-50,2,100238.35,High Balance,1,0,0,86797.41,Medium Salary,0
15591100,675,Good,Spain,Male,31-40,9,106190.55,High Balance,1,0,1,22994.32,Low Salary,0
15609618,721,Good,Germany,Male,21-30,9,154475.54,Very High Balance,2,0,1,101300.94,High Salary,1
15675522,628,Fair,Germany,Female,21-30,9,132351.29,High Balance,2,1,1,74169.13,Medium Salary,0
15705512,668,Fair,Germany,Female,31-40,6,167864.4,Very High Balance,1,1,0,115638.29,High Salary,0
15698028,506,Poor,France,Female,41-50,1,0,Zero Balance,2,1,0,31766.3,Low Salary,0
15661670,524,Poor,Germany,Female,31-40,8,107818.63,High Balance,1,1,0,199725.39,Very High salary,1
15600781,699,Good,Germany,Male,31-40,4,185173.81,Very High Balance,2,1,0,120834.48,High Salary,0
15682472,828,Excellent,France,Male,31-40,8,129433.34,High Balance,2,0,0,38131.77,Low Salary,0
15580203,674,Good,Spain,Male,31-40,6,120193.42,High Balance,1,0,0,100130.95,High Salary,0
15690673,656,Fair,France,Female,31-40,6,0,Zero Balance,2,1,0,141069.88,High Salary,0
15760085,684,Good,Germany,Female,41-50,10,126384.42,High Balance,1,1,1,198129.36,Very High salary,0
15779659,625,Fair,France,Female,21-30,3,0,Zero Balance,1,0,0,183646.41,Very High salary,0
15627360,432,Poor,France,Male,41-50,9,152603.45,Very High Balance,1,1,0,110265.24,High Salary,1
15671137,549,Poor,France,Female,51-60,1,0,Zero Balance,1,0,1,8636.05,Low Salary,1
15782688,625,Fair,Germany,Male,51-60,0,148507.24,High Balance,1,1,0,46824.08,Low Salary,1
15575492,828,Excellent,France,Female,41-50,7,0,Zero Balance,2,1,0,171378.77,Very High salary,0
15591607,770,Very Good,France,Male,21-30,9,101827.07,High Balance,1,1,0,167256.35,Very High salary,0
15740404,758,Very Good,France,Female,31-40,3,0,Zero Balance,2,1,1,124226.16,High Salary,0
15718369,795,Very Good,Germany,Female,31-40,9,130862.43,High Balance,1,1,1,114935.21,High Salary,0
15677871,687,Good,France,Male,31-40,9,122570.87,High Balance,1,1,1,35608.88,Low Salary,0
15642004,686,Good,France,Male,21-30,1,0,Zero Balance,2,0,1,16459.37,Low Salary,0
15712543,789,Very Good,Germany,Male,31-40,7,124828.46,High Balance,2,1,1,124411.08,High Salary,0
15584518,589,Fair,Germany,Female,41-50,5,144895.05,High Balance,2,1,1,34941.23,Low Salary,0
15802381,461,Poor,Germany,Female,31-40,5,63663.93,Medium Balance,1,0,1,167784.28,Very High salary,0
15610156,637,Fair,France,Male,31-40,2,133463.1,High Balance,1,0,1,93165.34,Medium Salary,0
15594408,584,Fair,Spain,Female,41-50,2,213146.2,Very High Balance,1,1,0,75161.25,Medium Salary,1
15640905,579,Poor,Spain,Female,31-40,1,129490.36,High Balance,2,0,1,8590.83,Low Salary,1
15698932,756,Very Good,Germany,Male,41-50,10,137452.09,High Balance,1,1,0,189543.9,Very High salary,0
15724944,663,Fair,France,Male,31-40,7,0,Zero Balance,2,1,1,180427.24,Very High salary,0
15628145,682,Good,France,Female,41-50,5,125851.93,High Balance,1,1,1,193318.33,Very High salary,0
15713483,793,Very Good,Spain,Male,51-60,2,0,Zero Balance,1,1,0,159123.82,Very High salary,1
15612350,691,Good,France,Female,31-40,5,40915.55,Low Balance,1,1,0,126213.84,High Salary,1
15800703,485,Poor,Spain,Female,21-30,5,113157.22,High Balance,1,1,1,54141.5,Medium Salary,0
15705707,635,Fair,Spain,Female,21-30,8,138296.94,High Balance,2,1,0,141075.51,High Salary,0
15754105,650,Fair,France,Male,31-40,5,106967.18,High Balance,1,0,0,24495.03,Low Salary,0
15703264,735,Good,France,Male,41-50,9,120681.63,High Balance,1,1,0,74836.34,Medium Salary,0
15794413,416,Poor,France,Male,31-40,0,0,Zero Balance,2,0,1,878.87,Low Salary,0
15650237,754,Very Good,Spain,Female,31-40,7,0,Zero Balance,2,1,0,89520.75,Medium Salary,0
15759618,535,Poor,France,Female,41-50,9,0,Zero Balance,1,1,0,149892.79,High Salary,1
15811589,716,Good,Spain,Male,41-50,8,0,Zero Balance,2,1,0,180800.42,Very High salary,0
15689044,539,Poor,France,Male,31-40,2,127609.59,High Balance,1,1,0,98646.22,Medium Salary,0
15709368,614,Fair,France,Female,41-50,6,0,Zero Balance,2,1,1,109041.53,High Salary,0
15679145,706,Good,Spain,Male,51-60,7,0,Zero Balance,1,1,0,17941.16,Low Salary,1
15655007,758,Very Good,France,Female,31-40,7,0,Zero Balance,2,0,0,82996.47,Medium Salary,0
15623595,586,Fair,Spain,Female,21-30,2,0,Zero Balance,2,1,1,92067.35,Medium Salary,0
15589975,646,Fair,France,Female,60+,6,97259.25,Medium Balance,1,0,1,104719.66,High Salary,0
15804017,631,Fair,Germany,Female,31-40,4,123246.7,High Balance,1,0,0,112687.57,High Salary,0
15692132,717,Good,Spain,Female,21-30,6,101060.25,High Balance,1,0,1,84699.56,Medium Salary,0
15641122,684,Good,France,Male,21-30,2,0,Zero Balance,2,1,0,83473.82,Medium Salary,0
15630910,800,Excellent,France,Female,41-50,7,108007.36,High Balance,1,0,0,47125.11,Low Salary,0
15680772,721,Good,Spain,Female,31-40,2,0,Zero Balance,2,1,1,106977.8,High Salary,0
15658929,683,Good,Spain,Male,21-30,0,133702.89,High Balance,1,1,0,55582.54,Medium Salary,1
15585388,660,Fair,Germany,Male,31-40,9,125189.75,High Balance,2,1,1,139874.43,High Salary,0
15724623,704,Good,Germany,Female,21-30,7,113034.22,High Balance,1,1,0,162503.48,Very High salary,1
15588537,615,Fair,Spain,Female,41-50,9,109013.23,High Balance,1,1,0,196499.96,Very High salary,0
15574692,667,Fair,Spain,Female,31-40,2,0,Zero Balance,2,1,0,40721.24,Low Salary,1
15611325,682,Good,Germany,Male,21-30,9,57929.81,Medium Balance,2,0,0,53134.3,Medium Salary,0
15587562,484,Poor,France,Female,21-30,4,130114.39,High Balance,1,1,0,164017.89,Very High salary,0
15613172,628,Fair,Germany,Male,21-30,5,95826.49,Medium Balance,2,1,0,155996.96,Very High salary,0
15651022,480,Poor,Germany,Male,41-50,10,129608.57,High Balance,1,1,0,5472.7,Low Salary,1
15586310,578,Poor,France,Male,21-30,4,169462.09,Very High Balance,1,1,0,112187.11,High Salary,0
15625524,512,Poor,France,Male,31-40,5,0,Zero Balance,2,1,1,146457.83,High Salary,0
15755209,484,Poor,Spain,Female,31-40,7,133868.21,High Balance,1,1,1,27286.1,Low Salary,0
15645248,510,Poor,France,Female,21-30,0,0,Zero Balance,2,1,1,130553.47,High Salary,0
15790355,606,Fair,Germany,Male,31-40,5,190479.48,Very High Balance,2,0,0,179351.89,Very High salary,0
15762615,597,Fair,Spain,Female,31-40,8,101993.12,High Balance,1,0,1,94774.12,Medium Salary,0
15625426,754,Very Good,Germany,Female,51-60,3,161608.81,Very High Balance,1,1,0,8080.85,Low Salary,1
15716334,850,Excellent,Spain,Female,41-50,2,122311.21,High Balance,1,1,1,19482.5,Low Salary,0
15789669,510,Poor,France,Male,60+,2,0,Zero Balance,2,1,1,48071.61,Low Salary,0
15621075,778,Very Good,Germany,Female,41-50,1,162150.42,Very High Balance,2,1,0,174531.27,Very High salary,0
15810845,636,Fair,France,Male,41-50,2,0,Zero Balance,2,1,1,55470.78,Medium Salary,0
15719377,804,Excellent,France,Female,41-50,4,0,Zero Balance,1,1,1,8546.87,Low Salary,1
15654506,514,Poor,France,Male,31-40,8,0,Zero Balance,2,1,0,95857.18,Medium Salary,0
15771977,730,Good,France,Female,31-40,1,99010.67,Medium Balance,1,1,0,194945.8,Very High salary,0
15708710,525,Poor,Spain,Female,31-40,0,0,Zero Balance,1,0,1,131521.72,High Salary,0
15726676,616,Fair,Spain,Male,21-30,5,0,Zero Balance,2,0,1,196108.51,Very High salary,0
15587421,687,Good,Germany,Female,31-40,7,111388.18,High Balance,2,1,0,148564.76,High Salary,0
15726931,715,Good,France,Female,41-50,8,56214.85,Medium Balance,2,0,0,92982.61,Medium Salary,1
15771086,512,Poor,France,Female,31-40,3,84327.77,Medium Balance,2,1,0,17675.36,Low Salary,0
15756850,479,Poor,France,Male,31-40,1,0,Zero Balance,2,0,0,114996.43,High Salary,0
15702741,601,Fair,France,Male,31-40,8,93012.89,Medium Balance,1,1,0,86957.42,Medium Salary,0
15679200,580,Fair,Spain,Male,21-30,9,61710.44,Medium Balance,2,1,0,128077.8,High Salary,0
15594815,807,Excellent,France,Male,31-40,3,174790.15,Very High Balance,1,1,1,600.36,Low Salary,0
15635905,616,Fair,Spain,Female,31-40,6,0,Zero Balance,2,1,1,43001.46,Low Salary,0
15777892,721,Good,Germany,Male,31-40,3,107720.64,High Balance,1,1,1,158591.12,Very High salary,0
15656176,501,Poor,France,Male,51-60,10,0,Zero Balance,2,1,1,47847.19,Low Salary,0
15811127,521,Poor,France,Male,31-40,6,96423.84,Medium Balance,1,1,0,10488.44,Low Salary,0
15604482,850,Excellent,Spain,Male,21-30,2,141040.01,High Balance,1,1,1,5978.2,Low Salary,0
15622911,759,Very Good,France,Male,41-50,4,105420.18,High Balance,1,0,1,121409.06,High Salary,0
15600974,516,Poor,Spain,Male,41-50,5,0,Zero Balance,1,0,1,146145.93,High Salary,1
15727868,711,Good,France,Female,31-40,2,129022.06,High Balance,2,1,1,14374.86,Low Salary,1
15627801,512,Poor,Spain,Male,31-40,3,176666.62,Very High Balance,1,1,0,94670.77,Medium Salary,0
15773039,550,Poor,France,Male,31-40,3,0,Zero Balance,1,1,1,179670.31,Very High salary,0
15755262,608,Fair,Spain,Female,41-50,3,89763.84,Medium Balance,1,0,0,199304.74,Very High salary,1
15679531,618,Fair,France,Male,31-40,5,134954.53,High Balance,1,1,1,151954.39,Very High salary,0
15684181,643,Fair,France,Male,41-50,5,0,Zero Balance,1,1,0,142513.5,High Salary,1
15612087,671,Good,France,Male,41-50,2,106376.85,High Balance,1,0,1,158264.62,Very High salary,0
15752047,689,Good,Germany,Male,31-40,2,161814.64,Very High Balance,2,1,0,169381.9,Very High salary,0
15624592,603,Fair,France,Male,31-40,8,0,Zero Balance,2,1,1,169915.02,Very High salary,0
15573152,620,Fair,France,Female,41-50,9,0,Zero Balance,2,0,0,88852.47,Medium Salary,0
15594917,676,Good,France,Female,31-40,1,63095.01,Medium Balance,1,1,1,40645.81,Low Salary,0
15785542,572,Poor,Germany,Male,21-30,4,118287.01,High Balance,2,0,0,60427.3,Medium Salary,0
15723488,668,Fair,Germany,Male,41-50,7,106854.21,High Balance,1,0,1,157959.02,Very High salary,1
15680920,695,Good,France,Male,41-50,7,49512.55,Low Balance,1,1,0,133007.34,High Salary,0
15786308,730,Good,Spain,Female,31-40,9,0,Zero Balance,2,0,0,176576.62,Very High salary,0
15659366,807,Excellent,France,Male,41-50,1,105799.32,High Balance,2,1,0,34888.04,Low Salary,1
15774854,592,Fair,France,Male,51-60,8,0,Zero Balance,1,1,1,28737.71,Low Salary,1
15725311,726,Good,France,Female,31-40,9,114722.05,High Balance,2,1,1,98178.57,Medium Salary,0
15787155,514,Poor,Spain,Male,21-30,7,0,Zero Balance,1,0,1,125010.24,High Salary,0
15727829,567,Poor,France,Male,41-50,2,0,Zero Balance,2,1,1,167984.61,Very High salary,0
15733247,850,Excellent,France,Male,31-40,10,0,Zero Balance,1,1,0,4861.72,Low Salary,1
15568748,671,Good,Germany,Male,41-50,6,99564.22,Medium Balance,1,1,1,108872.45,High Salary,1
15699029,670,Good,France,Male,31-40,4,170557.91,Very High Balance,2,1,0,198252.88,Very High salary,0
15774393,694,Good,France,Female,21-30,9,0,Zero Balance,2,1,1,26960.31,Low Salary,0
15676895,547,Poor,Germany,Female,31-40,6,74596.15,Medium Balance,3,1,1,85746.52,Medium Salary,1
15637753,751,Very Good,Germany,Male,41-50,2,96888.39,Medium Balance,1,1,0,77206.25,Medium Salary,1
15605461,594,Fair,Germany,Female,21-30,3,130830.22,High Balance,1,1,0,61048.53,Medium Salary,0
15808473,673,Good,France,Male,60+,1,0,Zero Balance,2,0,1,111981.19,High Salary,0
15627000,610,Fair,France,Male,31-40,0,0,Zero Balance,2,1,0,62232.6,Medium Salary,0
15787174,512,Poor,France,Female,31-40,1,0,Zero Balance,2,0,1,156105.03,Very High salary,0
15723886,767,Very Good,Germany,Male,0-20,3,119714.25,High Balance,2,0,1,150135.38,Very High salary,0
15704769,585,Fair,France,Female,60+,5,113978.97,High Balance,2,0,1,93146.11,Medium Salary,0
15772896,763,Very Good,Germany,Male,41-50,6,100160.75,High Balance,1,1,0,33462.94,Low Salary,1
15711540,712,Good,France,Female,21-30,2,0,Zero Balance,1,1,1,144375,High Salary,0
15764866,539,Poor,Germany,Female,41-50,3,116220.5,High Balance,3,1,0,55803.96,Medium Salary,1
15794056,668,Fair,France,Female,41-50,2,0,Zero Balance,3,1,0,89048.46,Medium Salary,1
15795149,703,Good,France,Male,21-30,2,81173.83,Medium Balance,2,0,1,162812.16,Very High salary,0
15812009,662,Fair,Spain,Male,31-40,4,0,Zero Balance,2,1,0,136259.65,High Salary,0
15651001,725,Good,Germany,Female,31-40,5,116803.8,High Balance,1,1,0,124052.97,High Salary,0
15813844,703,Good,France,Male,31-40,8,105961.68,High Balance,2,0,1,74158.8,Medium Salary,0
15596175,659,Fair,Germany,Male,60+,6,117411.6,High Balance,1,1,1,45071.09,Low Salary,1
15576269,523,Poor,Spain,Male,31-40,7,0,Zero Balance,2,1,0,62030.06,Medium Salary,0
15797219,635,Fair,France,Female,31-40,10,123497.58,High Balance,1,1,0,131953.23,High Salary,1
15685500,772,Very Good,Germany,Male,21-30,7,152400.51,Very High Balance,2,1,0,79414,Medium Salary,0
15599792,545,Poor,France,Female,21-30,1,0,Zero Balance,2,1,1,199638.56,Very High salary,0
15657566,634,Fair,Germany,Male,21-30,8,103097.85,High Balance,1,1,1,157577.29,Very High salary,0
15772423,739,Good,Germany,Male,51-60,8,126418.14,High Balance,1,1,0,134420.75,High Salary,1
15628112,771,Very Good,Germany,Female,31-40,5,77846.9,Medium Balance,1,0,0,99805.99,Medium Salary,0
15753754,587,Fair,Spain,Female,31-40,1,0,Zero Balance,2,1,1,97932.68,Medium Salary,0
15793726,681,Good,France,Female,60+,0,0,Zero Balance,2,0,1,170968.99,Very High salary,0
15694717,544,Poor,Germany,Male,31-40,2,79731.91,Medium Balance,1,1,1,57558.95,Medium Salary,0
15665834,696,Good,Spain,Male,21-30,8,0,Zero Balance,1,0,0,176713.47,Very High salary,0
15765297,766,Very Good,Spain,Male,41-50,0,0,Zero Balance,2,0,1,34283.23,Low Salary,0
15636684,727,Good,France,Male,31-40,10,0,Zero Balance,2,1,1,198637.34,Very High salary,0
15592979,671,Good,Germany,Female,31-40,6,37266.67,Low Balance,2,0,0,156917.12,Very High salary,0
15750803,693,Good,France,Female,21-30,6,127992.25,High Balance,1,1,1,50457.2,Medium Salary,0
15607178,850,Excellent,Germany,Male,31-40,3,54901.01,Medium Balance,1,1,1,140075.55,High Salary,0
15713853,732,Good,Germany,Male,41-50,9,108748.08,High Balance,2,1,1,65323.11,Medium Salary,0
15673481,726,Good,Spain,Female,41-50,6,99906.19,Medium Balance,1,1,0,64323.24,Medium Salary,0
15686776,557,Poor,France,Female,31-40,6,184686.41,Very High Balance,2,1,0,14956.44,Low Salary,0
15673693,682,Good,France,Female,21-30,0,110654.02,High Balance,1,0,1,111879.21,High Salary,0
15700696,738,Good,Spain,Male,31-40,9,79019.8,Medium Balance,1,1,1,18606.23,Low Salary,0
15813163,531,Poor,Spain,Female,31-40,9,99240.51,Medium Balance,1,1,0,123137.01,High Salary,0
15653857,498,Poor,France,Male,31-40,2,0,Zero Balance,2,1,1,148528.24,High Salary,0
15777076,651,Fair,France,Male,31-40,7,0,Zero Balance,2,1,0,13898.31,Low Salary,0
15717398,549,Poor,Spain,Female,31-40,7,0,Zero Balance,1,0,0,81259.25,Medium Salary,1
15799217,791,Very Good,Germany,Female,31-40,7,52436.2,Medium Balance,1,1,0,161051.75,Very High salary,0
